user_Id;mailgroup_Id
1;554
1;574
2;554
3;554
3;574
4;554
5;554
5;574
6;554
7;554
7;574
8;554
8;574
9;554
9;574
10;554
10;574
11;554
12;554
12;574
13;554
13;578
14;554
14;574
15;554
15;574
16;554
16;574
17;554
18;554
19;554
19;581
20;554
21;554
22;554
23;554
24;554
24;574
25;554
25;574
26;554
27;554
27;574
28;554
28;574
29;554
29;574
30;554
31;554
31;581
32;554
33;554
33;574
34;554
34;574
35;554
36;554
37;554
38;554
39;750
40;554
40;750
41;14
41;554
42;554
42;574
43;554
43;574
44;554
44;574
45;554
45;574
46;554
47;554
48;554
49;554
50;554
51;554
52;554
53;763
54;554
55;554
55;574
56;554
56;574
57;554
57;574
58;554
59;578
60;14
60;554
61;181
61;554
62;554
62;574
63;554
63;574
64;554
64;574
65;579
66;554
67;554
67;574
68;554
69;554
70;14
70;554
71;14
71;554
72;554
73;554
74;763
75;554
75;574
76;578
77;
78;
79;
80;811
81;578
82;554
83;579
84;763
85;554
86;554
87;554
88;14
88;554
89;14
89;554
90;554
91;554
92;554
93;763
94;
95;554
96;554
96;574
97;554
98;554
99;554
99;574
100;554
100;581
101;578
102;554
103;554
103;574
104;14
104;554
105;14
105;554
106;14
106;554
107;554
108;14
108;554
109;579
110;14
110;554
111;554
112;554
112;574
113;554
113;574
114;536
114;574
115;554
116;554
116;574
117;132
117;554
118;578
119;554
120;578
121;554
122;554
123;554
124;719
125;554
126;554
127;554
128;554
129;554
130;554
131;554
132;554
133;554
134;554
135;554
136;578
137;554
138;554
139;14
139;554
140;568
141;719
142;750
143;554
144;578
145;554
146;763
147;554
147;750
148;554
149;554
150;15
150;554
151;763
152;578
153;554
154;585
155;763
156;576
156;750
157;763
158;578
159;763
160;750
161;554
161;750
162;554
162;574
162;594
162;750
163;578
163;750
164;14
164;554
165;750
166;554
167;554
168;554
168;574
169;
170;554
170;763
171;576
172;14
172;554
173;743
174;554
175;554
175;574
175;594
176;554
177;745
178;554
179;554
180;
181;763
182;745
183;14
183;554
184;554
185;554
185;596
186;579
187;131
187;536
187;554
188;763
189;
190;578
191;811
192;554
192;574
193;811
194;554
194;750
195;811
196;578
197;811
198;578
199;890
200;536
201;22
201;448
201;5
201;5
201;523
201;554
202;18
202;554
203;574
204;743
204;820
205;187
205;554
205;574
206;503
207;131
207;554
208;131
208;554
209;181
209;554
210;181
210;554
211;
212;503
213;181
213;554
214;631
215;181
215;554
216;503
217;554
217;574
217;748
218;
219;181
219;554
220;181
220;554
221;
222;355
222;5
222;554
222;574
222;583
223;567
224;25
224;574
224;596
224;65
224;831
224;87
225;181
225;554
225;574
226;
227;568
227;645
228;177
228;26
228;450
228;554
228;574
229;554
230;579
231;181
232;166
232;21
232;227
232;23
232;24
232;5
233;181
233;554
233;574
234;554
235;14
235;554
236;181
236;554
237;103
237;554
237;574
237;583
238;181
239;554
240;181
241;181
241;554
242;742
243;574
243;596
243;818
243;928
244;503
245;18
246;554
247;181
247;554
248;181
248;554
249;181
249;554
250;579
251;554
252;503
253;588
253;756
254;554
254;582
255;574
255;576
255;579
256;123
256;536
256;554
256;574
257;123
258;554
258;574
259;508
260;24
260;554
260;567
260;574
261;554
262;588
262;759
263;731
263;743
264;508
265;810
266;554
267;938
268;181
268;554
269;5
269;536
269;574
269;576
269;580
270;181
270;554
271;
272;554
272;574
273;181
274;738
275;888
275;928
276;763
277;
278;588
278;637
279;
280;26
281;503
282;177
282;23
282;25
282;450
282;5
282;554
283;504
284;554
284;574
284;578
285;554
285;574
286;578
287;
288;503
289;503
290;503
291;554
292;763
293;554
294;554
295;11
295;596
296;154
296;157
297;448
297;554
298;181
298;554
299;596
299;888
300;134
300;507
301;503
302;181
302;554
303;504
304;62
305;650
305;669
305;703
305;772
305;812
306;181
306;554
307;504
308;181
308;554
309;11
309;121
309;558
309;576
309;928
310;503
311;154
311;554
311;574
311;629
311;753
312;576
312;582
313;554
314;26
314;826
314;942
314;944
315;181
315;554
316;177
316;450
316;554
316;574
316;582
317;554
317;567
317;574
317;718
317;721
318;18
319;554
320;509
321;187
321;5
321;524
321;554
321;573
322;742
322;892
322;928
323;455
324;
325;554
326;554
327;777
328;503
329;579
330;574
330;743
331;
332;154
333;508
334;554
334;574
335;154
335;155
335;554
335;574
335;629
336;554
337;567
338;154
338;554
338;574
338;629
338;753
339;554
340;181
340;554
340;574
341;554
342;181
342;554
343;554
344;142
344;554
344;574
345;181
345;554
346;508
347;508
348;181
348;554
349;181
350;14
350;554
351;574
352;554
352;574
352;580
352;726
353;545
353;554
353;574
354;
355;503
356;121
356;558
356;576
356;742
356;743
357;777
358;502
359;154
359;177
359;450
359;574
359;582
360;576
360;588
360;615
360;676
360;734
361;942
362;181
362;554
363;
364;567
364;570
365;181
365;554
366;181
367;761
367;823
368;177
369;22
369;830
369;888
370;181
370;554
371;833
371;888
371;928
372;181
372;576
373;177
374;
375;509
376;509
377;721
378;554
378;582
379;554
380;574
380;596
380;818
380;928
381;554
381;582
382;579
383;
384;133
384;504
385;181
385;554
386;579
387;5
387;554
388;503
389;721
390;567
390;574
390;596
390;613
390;888
391;739
392;5
393;177
393;26
393;450
393;554
393;567
394;23
394;554
394;574
395;18
395;554
396;181
396;554
397;574
397;742
398;554
399;26
399;554
399;574
400;554
400;567
400;718
401;
402;14
402;554
403;181
403;554
404;634
404;721
404;831
405;143
405;554
405;574
405;649
405;658
406;578
406;579
407;523
407;554
407;574
408;942
408;944
409;554
409;574
409;65
410;181
410;454
410;554
410;574
410;721
411;181
411;554
412;181
413;277
414;121
414;558
414;574
414;576
414;581
415;737
416;777
417;504
417;554
418;22
418;554
418;574
419;576
420;554
421;181
421;554
422;503
423;579
424;554
425;28
425;438
425;554
425;574
425;880
426;554
426;574
427;134
427;18
428;574
429;508
430;503
431;743
431;877
432;733
433;181
433;554
434;355
435;181
435;554
436;880
436;891
437;503
438;554
439;743
439;820
440;11
440;574
440;579
440;631
440;788
441;503
442;871
442;928
443;448
443;554
444;895
445;503
446;181
446;554
447;554
447;595
448;554
448;574
448;743
449;181
449;554
450;508
451;554
452;554
452;574
453;588
453;704
453;705
453;706
454;554
454;574
455;181
455;554
456;181
457;504
458;181
459;554
459;574
460;752
461;554
462;508
463;737
464;554
464;751
465;277
465;28
465;29
465;297
465;47
465;5
466;585
467;181
467;554
468;104
468;25
468;554
468;574
468;65
469;743
469;820
470;103
470;181
470;22
470;5
470;5
470;554
471;18
472;26
472;807
473;554
473;582
474;121
474;25
474;26
474;5
474;558
474;561
475;5
475;576
476;508
477;181
477;554
478;181
478;554
479;181
479;554
480;454
480;721
480;751
481;503
482;25
482;928
483;578
484;103
484;5
484;554
484;574
484;583
485;23
486;871
487;554
488;181
488;554
489;181
489;554
490;554
491;5
491;574
491;576
491;614
491;654
492;503
493;574
493;588
493;590
493;908
494;751
495;5
495;554
496;11
496;928
497;24
497;5
497;554
497;574
498;181
498;554
499;928
500;554
501;18
501;554
502;731
502;743
503;5
504;503
505;28
505;567
505;626
506;121
506;558
506;576
506;872
506;902
507;928
508;724
508;742
508;825
508;828
508;887
509;554
510;574
510;578
511;5
511;554
512;503
513;181
513;554
514;181
514;554
515;554
515;582
516;554
516;582
517;121
517;23
517;26
517;558
517;576
517;74
518;104
519;181
519;554
520;181
521;578
522;582
523;30
524;18
525;503
526;588
526;699
526;731
526;734
526;756
527;181
527;554
528;181
528;554
529;181
529;554
530;578
531;554
532;25
533;554
533;574
533;656
533;658
533;668
534;554
534;574
534;595
534;65
535;578
536;181
536;554
537;579
538;503
538;554
539;508
540;154
540;155
540;484
540;554
540;93
541;554
541;574
541;596
541;935
542;554
543;935
544;819
544;843
545;810
546;831
546;888
547;554
548;554
549;554
549;574
549;721
550;177
550;450
550;554
550;574
550;582
551;503
552;181
553;554
554;11
554;596
555;177
555;554
555;582
555;788
555;831
556;508
557;142
557;554
557;574
558;508
559;731
560;888
561;177
561;450
561;554
561;574
561;582
562;582
563;508
564;588
564;743
564;759
564;760
564;822
565;508
566;588
566;699
566;729
566;734
566;737
567;578
568;584
568;850
568;909
569;15
569;554
569;721
569;751
570;23
570;37
570;554
570;574
570;788
570;8
571;503
572;576
573;503
574;181
574;554
575;554
576;737
577;503
578;448
578;830
579;28
580;131
580;554
581;181
581;554
582;2
582;22
582;23
582;24
582;25
582;26
582;28
583;554
583;582
584;18
584;554
585;181
585;554
586;24
586;554
586;574
587;181
588;588
588;704
588;705
588;706
589;103
589;217
589;24
589;29
589;30
589;5
590;448
590;5
590;554
591;23
591;941
592;
593;503
594;
595;938
596;579
597;554
598;574
598;596
598;818
599;181
599;554
600;154
600;523
600;554
600;574
600;629
601;508
602;588
602;743
602;756
602;781
603;554
604;154
605;181
605;554
606;181
607;578
608;554
609;177
609;450
609;554
609;574
609;582
610;65
611;503
612;578
613;181
614;121
614;143
614;24
614;26
614;45
614;62
615;177
615;450
615;554
615;574
615;582
616;745
617;554
617;567
617;87
618;631
619;121
619;24
619;510
619;558
619;561
620;761
620;823
621;181
621;554
621;574
622;494
622;546
622;554
622;574
622;596
623;26
623;554
623;574
623;614
623;777
624;745
625;
626;554
627;181
627;554
628;28
628;554
628;574
629;554
630;181
630;554
631;29
631;448
631;493
631;554
631;574
632;181
632;554
633;523
633;554
633;574
634;
635;181
635;554
636;181
636;554
637;181
637;554
637;582
638;733
639;554
640;181
640;554
641;142
641;187
641;21
641;23
641;29
641;5
642;554
643;
644;738
645;177
645;582
646;181
646;554
647;508
648;154
648;157
649;554
649;574
649;631
649;65
649;742
650;743
650;814
651;121
651;558
651;561
651;576
651;581
652;181
652;554
653;503
654;26
654;29
654;5
654;554
654;567
654;574
655;582
656;104
